trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.0053527504205703735,28.072561874985695,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,116.20776087511331,,,,,,,,,,
1,,18.23,0,9.45,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,116.52377275004983,,120.53012087522075,121.53122395928949,121.53507675044239,122.53613987518474,122.53963229199871,125.54070504242554,,
2,,53.27,0,35.16,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,125.55129995942116,,129.55704675009474,130.55817325040698,130.56161804217845,131.56268520932645,131.56818662537262,135.06927000032738,,
,,,,,,,,,,,,,,,,,135.0731286671944,301.69742004200816,,,,,,,,,,
1,0,17.94,0,9.03,,,1,n,17.94,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,301.76761741703376,302.70733616733924,302.71122983423993,303.71237391699106,303.71684579225257,304.71797704230994,304.723239667248,307.7243680842221,,
2,1,0.00,0,7.55,,,0,v,7.55,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,307.7365996669978,308.30967104202136,308.3134386674501,309.31455387501046,309.319718667306,310.3208350003697,310.3241603341885,313.3252801671624,,
3,0,10.95,0,6.53,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,313.34521412523463,,317.3494109590538,318.35052691726014,318.3560188342817,319.3571375841275,319.3623694591224,322.3635181253776,,
4,1,14.26,0,0.00,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,322.3725328752771,,326.40531695913523,327.4064004593529,327.41020441707224,328.4113174593076,328.4149997504428,331.416138375178,,
5,0,12.36,0,5.82,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,331.42689395928755,,335.43100433424115,336.43212670926005,336.4357143752277,337.43678216729313,337.4402271672152,340.9413942093961,,
6,1,10.68,0,10.68,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,340.9536895840429,,344.9578459174372,345.95893791737035,345.962665125262,346.9638027502224,346.96733529213816,349.9685839591548,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,159,201
,,,,,,,,,,,,,,,,,350.2390229590237,354.2402734174393,,,,,,,,,,
,,,,,,,,,,,,,,,,,354.2478194590658,357.4406366250478,,,,,,,,,,
1,,11.83,0,7.05,0.99982609329586,0,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,357.7994455844164,,361.805535542313,362.8066502502188,362.8119298340753,363.81302166730165,363.81852475041524,366.819639084395,,
2,,11.54,0,7.85,0.533742293833153,2,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,366.83046766743064,,370.8370832502842,371.8382179592736,371.84204545943066,372.8431663340889,372.848443959374,375.84952583443373,,
3,,17.48,0,11.78,0.7011503595781179,1,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,375.85881120944396,,379.8650581673719,380.86619495926425,380.8724170420319,381.8735002921894,381.87751429202035,385.37859525019303,,
,,,,,,,,,,,,,,,,,28.090153209399432,389.09536479227245,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,390.51377587532625,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,390.7839038753882,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,390.9847943340428,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,391.1775396671146,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,430.0810275422409,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,430.7205008342862,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,430.92409620899707,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,431.10417562536895,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,431.4626392503269,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,431.60909395944327,,,,,,,,,,
,,,,,,,,,,,,,,,,,28.090153209399432,431.80004058405757,,,,,,,,,,
