trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
15,0,25.20,0,5.40,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,127.22899719362613,,131.23139509896282,132.23143934366817,132.23375508024765,133.2333869010472,133.2355770142458,136.2352246367227,,
16,0,20.03,0,1.99,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,136.2484518301644,,140.2507114707696,141.2509164975927,141.25314137450187,142.25286524009425,142.2549613332958,145.75475472629478,,
17,0,17.94,0,9.03,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,145.76845320490247,,149.77053428649378,150.7704035275674,150.7726679086918,151.7724162668892,151.77458781310997,154.77429785224376,,
18,0,15.47,0,10.27,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,154.78811681868683,,158.79029863599862,159.7900473892514,159.79235562002577,160.79201627889415,160.79420362680685,164.29375801935385,,
19,0,15.96,0,10.02,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,164.30756868992466,,168.30971060799493,169.30942617770052,169.31157283627545,170.3114847419056,170.31378309662978,173.3133694875869,,
20,1,14.26,0,0.00,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,173.32667134396615,,177.3287397842214,178.32810416154098,178.33034602525004,179.33003986765107,179.3322477577458,182.83187444299983,,
21,0,16.60,0,9.70,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,182.8473379695497,,186.84948699838424,187.8496639772202,187.8517565150396,188.85157203039853,188.85376332871965,192.3534235925472,,
22,0,11.43,0,6.29,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,192.36751671819366,,196.36979453072126,197.3689005505439,197.37118428871327,198.37082954093057,198.37281936781073,201.87293116471847,,
23,0,10.73,0,6.63,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,201.88641118507076,,205.8886897876946,206.88868030668527,206.89098616721458,207.89061838305497,207.8927978301217,211.3922807200579,,
24,0,15.09,0,10.46,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,211.4049516942614,,215.40705252795306,216.40696008811938,216.40943384151615,217.4091505963588,217.41105864953715,220.41077461428358,,
25,0,19.86,0,8.07,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,220.4249151449767,,224.427063383715,225.42647753634083,225.42856770390063,226.42869806777162,226.43108214663516,229.4303355171287,,
26,0,17.73,0,3.13,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,229.44763519920525,,233.44995449116686,234.44930148663116,234.45147461302986,235.45126050022373,235.45371568665723,238.95286555612984,,
27,0,12.68,0,5.66,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,238.9688525134261,,242.97133693296928,243.97081666256418,243.97316834797675,244.97251060293638,244.97471493764897,248.47459840025112,,
28,0,11.62,0,6.19,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,248.4893476907455,,252.49151015101233,253.49134857879835,253.493414648794,254.49332378912368,254.49556999829656,257.4951548090903,,
29,0,21.32,0,7.34,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,257.5091400882375,,261.5115541902924,262.51064085304097,262.5128890374326,263.51260658235697,263.5148196079972,266.51455967032234,,
30,0,17.59,0,9.20,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,266.5279792492365,,270.530080477969,271.52950687690463,271.5317649373319,272.5314011035953,272.53372118563857,276.0332530607993,,
31,0,18.77,0,8.61,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,276.04675283325196,,280.048955982842,281.0489820556104,281.0510477305652,282.05072063574335,282.0529514382797,285.5525879995839,,
32,0,15.70,0,10.15,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,285.56983277079416,,289.5723527441296,290.5725072055793,290.57639757981815,291.5764734278928,291.5786433939502,294.5783032627369,,
33,0,18.33,0,8.84,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,294.59118755966483,,298.5936838304624,299.593048207782,299.59532088477863,300.5949045104353,300.59707724179316,303.59674619654834,,
34,1,0.00,0,10.25,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,303.6105568671046,,307.6128805045155,308.61234522252926,308.61481423542136,309.6143125320086,309.61652042210335,312.6164267971326,,
35,1,13.10,8,4.68,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,312.63419618421176,,316.6369334306801,317.6369192091661,317.6389904147072,318.63895367579244,318.6411418137868,322.14093560182664,,
36,0,16.00,0,4.00,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,322.15573466762726,,326.15798127185553,327.1576680034923,327.1603100448265,328.15943937211705,328.161845573326,331.66132569796173,,
37,0,14.72,0,4.64,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,331.6757352522982,,335.6779253654968,336.6772186352464,336.6795892826776,337.6788940086408,337.680857762738,340.68076413776726,,
38,0,10.95,0,6.53,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,340.6955730796326,,344.69790303772606,345.6977584523265,345.7000761641102,346.699761710639,346.70234370556136,350.2012992143427,,
39,0,22.97,0,6.51,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,350.21885883409414,,354.2212705658894,355.22129466346814,355.2234172244789,356.2229747773672,356.22523994855874,359.22505704408104,,
40,0,13.94,0,5.03,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,359.23950847286324,,363.24167251329345,364.24184435659845,364.2441600931779,365.2438092958182,365.2468218865979,368.7466144895152,,
41,1,16.11,7,6.99,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,368.7631624065398,,372.7652261062758,373.7653868884081,373.76772040186916,374.76732931022707,374.769341654508,378.2688928867283,,
42,0,13.45,0,5.27,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,378.28482848854037,,382.2869842330838,383.28689653375477,383.28947457825416,384.2888468564197,384.29111400283,387.29070473925094,,
43,0,17.28,0,9.36,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,387.3051265398826,,391.30730756711273,392.30745096738974,392.3095079514169,393.30939654955,393.3116123404907,396.8112105827022,,
44,1,0.00,0,3.13,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,396.82379978320387,,400.82596935422043,401.82573074882384,401.8281590723782,402.8279346884956,402.8301208512712,406.32975780761626,,
45,0,10.24,0,6.88,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,406.34251490099996,,410.3446615595749,411.3445126287115,411.34668575511023,412.3464574207901,412.3486574100534,415.34831451353966,,
46,1,0.00,0,7.55,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,415.3620098318206,,419.36447923975356,420.36404587861034,420.36637188628083,421.3660191137169,421.3680504200165,424.86782919646066,,
47,0,13.04,0,5.48,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,424.8813289689133,,428.88369132045773,429.8835676722956,429.8859549114859,430.8855175999197,430.88775432808325,433.88736955712375,,
48,0,15.27,0,10.37,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,433.90035379967594,,437.9026746718009,438.9018652306113,438.9042437788885,439.9040936629026,439.90629088686546,442.9059223126096,,
49,0,28.21,0,3.89,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,442.91926999387215,,446.9216659239901,447.92168212072283,447.9240547433583,448.92349654891586,448.9259552907315,451.9254911163007,,
50,1,19.86,0,0.00,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,451.93820119966404,,455.9405998950824,456.9399551864335,456.94210303013097,457.9421832236694,457.94452937849564,460.94403676103684,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,113,1
,,,,,,,,,,,,,,,,,461.92219093489985,465.92153911548667,,,,,,,,,,
,,,,,,,,,,,,,,,,,465.9242001188395,515.7830409231974,,,,,,,,,,
1,,6.98,0,3.59,0.665965661994083,1,0,v,3.59,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,515.7994296382676,516.5271006756811,516.5293093558721,517.5292291623336,517.5319411261007,518.5321659050387,518.5343390314229,521.5340391945065,,
2,,7.93,0,4.87,0.47775848948661,2,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,521.5476602448762,521.8867035161966,521.8887356125779,522.8889694774698,522.8920519906969,523.8919311078353,523.8941500591027,526.8935144364223,,
3,,22.54,0,11.56,0.667033291339584,1,0,v,11.56,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,526.90728915816,527.3424505091389,527.3444581129006,528.3446532636881,528.3472380239109,529.346568822657,529.348733258128,532.8484796411212,,
4,,7.76,0,10.46,0.0092523234337041,0,0,n,10.46,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,532.8628220382961,533.2381511083368,533.2401938708499,534.2404178597062,534.2430583208625,535.2423654170707,535.2445740972616,538.2442260652024,,
5,,8.78,0,6.23,0.294128368220065,1,0,v,6.23,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,538.2581189045013,538.765898467871,538.7679633527441,539.7680901612475,539.7708467647753,540.771082604886,540.773264027157,544.2728816264425,,
6,,17.12,0,11.95,0.314596274940443,1,1,v,17.12,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,544.2871019556187,544.7015808793367,544.7036030996678,545.7038468406245,545.7070688036911,546.7067934593797,546.7090092503058,549.7086548975785,,
7,,4.21,0,11.08,0.0023065757048506,0,1,n,4.21,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,549.7215391945065,550.0453208057588,550.0473924063554,551.0475808414194,551.0506009379897,552.0505239047925,552.0526958460541,555.5523604553455,,
8,,18.40,0,9.42,0.668162188760684,1,0,v,9.42,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,555.5650413055992,555.876986271498,555.8790634026809,556.8792893667414,556.8819365436066,557.881262601848,557.8834001744544,561.3830213291221,,
9,,21.26,0,5.82,0.909865085687774,0,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,561.3959293285589,,565.3981743526092,566.3978010378632,566.4001112438564,567.3997616316192,567.4017799015273,570.4015685540217,,
10,,11.44,0,9.89,0.0969061869394598,0,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,570.4149845775682,,574.4171778511081,575.4173698415543,575.4194216900214,576.4193229295051,576.4212803629343,579.9211448635178,,
11,,18.37,0,0.41,0.969593417438201,0,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,579.9345051861164,,583.9366415736004,584.9367853689182,584.9390153813583,585.9386167839257,585.9408712889854,589.440659151398,,
12,,2.72,0,1.59,0.537569457734813,2,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,589.4544145160617,,593.4565279911039,594.4563798503368,594.4586876860703,595.4583084456826,595.4605384581373,598.460169883896,,
13,,16.42,0,9.66,0.529015808407913,2,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,598.47453400839,,602.4766877777147,603.476989194809,603.4792911049299,604.4789418877335,604.4810972372361,607.9807428845088,,
14,,8.93,0,5.17,0.547385805378111,2,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,607.99406054258,,611.9961870539992,612.9964517321932,612.9986011560541,613.9984071904037,614.0005897978117,617.0002903559216,,
15,,18.95,0,11.26,0.51756653576899,2,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,617.0149969818885,,621.0171230982669,622.0170421146468,622.0191812674311,623.0189450322796,623.020936834364,626.5208270126604,,
16,,27.34,0,5.15,0.942048515791681,0,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,626.5344915176684,,630.5366196092655,631.5365828703507,631.538864238275,632.5385300326889,632.540676296223,636.0400714868156,,
17,,19.08,0,11.51,0.498572506119512,2,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,636.0533176422759,,640.0555409390072,641.0551107381907,641.0573826251057,642.0570389385102,642.0591010580829,645.5588288740983,,
18,,9.93,0,6.79,0.3397994379236,1,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,645.5713125983748,,649.5737397368066,650.5736180638633,650.5758919259824,651.5755865584651,651.5777861526731,654.5774270594411,,
19,,6.00,0,9.05,0.00663330084528,0,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,654.5911279083084,,658.5932781222655,659.5931706708216,659.5951762993791,660.5950972909632,660.5971499295265,663.5967920214171,,
20,,26.60,0,1.73,0.965583929935076,0,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,663.6097264886776,,667.6119794135739,668.6116937981569,668.6140419281874,669.6136539968866,669.6159120573284,672.6152598428744,,
21,,12.45,0,6.30,0.678681373084755,1,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,672.6282563317363,,676.6306775445555,677.6302374676889,677.6325026388804,678.6321968763368,678.6343561762478,682.1337592676864,,
22,,12.54,0,5.77,0.746975751508101,1,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,682.1455354716163,,686.1478061734088,687.1475450505968,687.1498173325526,688.1497134364909,688.1519584605412,691.6515555176447,,
23,,15.27,0,9.14,0.509258824544933,2,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,691.6654131982068,,695.6676440007432,696.6672975488473,696.6695089943241,697.669209552434,697.6713447547954,701.1710796815751,,
24,,20.05,0,10.01,0.689051366195358,1,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,701.1847497171548,,705.1869204732939,706.186553479216,706.1886515476217,707.1887254204921,707.1908614129352,710.1903739310219,,
25,,13.68,0,8.03,0.531457985500313,2,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,710.2051362579223,,714.2072722503508,715.2073832571768,715.2097791872948,716.2090760124265,716.2112756066344,719.2111728956952,,
26,,1.38,0,0.80,0.548851197326901,2,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,719.2231730884814,,723.2255255639757,724.2247125674039,724.2267683663085,725.2268608061422,725.2292034055863,728.728691431068,,
27,,23.68,0,1.08,0.967648371930076,0,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,728.7445484195196,,732.7466401672573,733.7464556826017,733.7486963611882,734.7481436973467,734.7503835858515,737.7502461112163,,
28,,0.54,0,8.17,0.000992135427586,0,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,737.7645537446951,,741.7668742217793,742.7669714021176,742.7693827388866,743.7687135376182,743.771114998337,747.2705307311116,,
29,,7.91,0,3.86,0.707217012079445,1,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,747.2845661806205,,751.286698222626,752.2865244041313,752.2887883902004,753.2884735416737,753.2907272566517,756.2903231286182,,
30,,18.10,0,9.43,0.65308901372246,1,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,756.3037565340055,,760.3060347415885,761.3060880722624,761.3083674649679,762.3077780622116,762.3099606696196,765.8098500578344,,
31,,6.53,0,3.89,0.514246438685212,2,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,765.8219517764373,,769.8242418352747,770.8236125332623,770.825960268252,771.8256545056938,771.8279026900855,774.8274033569178,,
32,,7.82,0,5.48,0.309205760135844,1,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,774.8408885128156,,778.8430296408042,779.8431742262037,779.8454907528649,780.8450988711411,780.8470804021345,783.8469690002676,,
