trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.005792501789983362,1.1446924518531887,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.1473036798997782,2.3205722895509098,,,,,,,,,,
1,,18.23,0,9.45,,,0,n,9.45,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,2.358713600828196,3.912502923310967,3.915025266891462,4.914774415185093,4.9175539311545435,5.9177198488177964,5.920166344323661,8.919550868784427,,
2,,53.27,0,35.16,,,0,v,35.16,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,8.935304751255899,9.256273663020693,9.258363040498807,10.258463381192996,10.261212083874852,11.261395778434235,11.263758129978669,14.763265907560708,,
3,,8.27,0,1.15,,,0,n,1.15,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,14.776685091434047,15.295933120971313,15.298029214158305,16.298190786357736,16.30109197528509,17.30121601848805,17.30357955515501,20.30280329749803,,
4,,45.88,0,40.41,,,0,v,40.41,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,20.31655905721709,20.863663082855055,20.865987905403017,21.865920353200636,21.868548963102512,22.867876206466462,22.869969139326713,26.369691029700334,,
5,,21.56,0,11.96,,,1,n,21.56,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,26.384032636808115,27.183360354218166,27.185501087165903,28.18560537826852,28.192635941886692,29.192554958252003,29.19474270120554,32.194416396465385,,
,,,,,,,,,,,,,,,,,32.19735116395168,33.19905616551114,,,,,,,,,,
1,0,16.26,0,9.87,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,33.21537021762924,,37.21780999741168,38.21710168699792,38.219834983028704,39.22004475037102,39.22231900753104,42.72187893067894,,
2,0,11.20,0,6.40,,,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,42.735704217790044,43.1185497531842,43.12068258528598,44.120797542535,44.12378366549092,45.12375798776338,45.12600656718132,48.62559137797507,,
3,0,19.28,0,8.36,,,1,n,19.28,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,48.63921479860437,49.20627990468347,49.20850517663348,50.20849806588376,50.21151776741317,51.21146167143888,51.21368615330721,54.21330612283782,,
4,0,10.55,0,6.73,,,1,v,10.55,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,54.22668896285177,54.55801311224059,54.56030317109253,55.56023324864509,55.56339240002853,56.56316683100886,56.56541027489584,60.06503419484943,,
5,0,10.39,0,6.81,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,60.07827956021356,60.445684876525775,60.4477347498032,61.44795044277271,61.45101952456753,62.450899431772996,62.453124703723006,65.45275217905873,,
6,0,12.08,0,5.96,,,0,v,5.96,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,65.46593275752093,65.98140260475338,65.98361602543446,66.98367844209133,66.98640857779537,67.98661518479639,67.98864293569932,71.48843711879454,,
7,0,12.36,0,5.82,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,71.50141701589746,71.88513954466907,71.8872004791192,72.88737706291431,72.8903813578072,73.89032368166954,73.89254184285528,76.89217958928202,,
8,1,10.68,0,10.68,,,0,v,10.68,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,76.90571926099074,77.43686556245666,77.43908332860155,78.43888343730941,78.44151915796101,79.4410297008435,79.44331185884948,82.44274971399864,,
9,0,20.53,0,7.73,,,0,n,7.73,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,82.4568404693855,82.87655449053273,82.87856960009958,83.87888800400833,83.88168845720065,84.88177102098416,84.88392360518628,88.38359335002315,,
10,1,6.79,0,9.92,,,0,v,9.92,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,88.39544263674179,88.82028232867015,88.82232430110162,89.82253446347022,89.82514450639428,90.82449979774537,90.82668319523509,93.82634701443021,,
11,0,10.12,0,6.94,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,93.8404195978801,94.14803450771433,94.15016812991234,95.15026926067367,95.15341577072104,96.15350900065096,96.15552648046287,99.1550765275606,,
12,0,11.84,0,6.08,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,99.16879712852824,,103.17105242366961,104.1708509522141,104.17319592190324,105.17277401698811,105.17498901783256,108.67458370467648,,
13,1,10.35,0,0.00,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,108.68947758058493,,112.69160843746795,113.69136904197512,113.69380210604868,114.69299108469568,114.69520332025422,117.6951215465524,,
14,0,17.00,0,9.50,,,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,117.70943471061764,,121.71168052474968,122.71189858796424,122.71417047487921,123.71379597499617,123.71591379550227,127.2156661041372,,
