trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.01777970790863037,2.2554592499509454,,,,,,,,,,
,,,,,,,,,,,,,,,,,2.2637091249926016,3.5339444580022246,,,,,,,,,,
1,,18.23,0,9.45,,,0,v,9.45,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,3.589844833011739,5.999933791928925,6.0095801670104265,7.009632374974899,7.013069542008452,8.0131222079508,8.016822916921228,11.016868707956746,,
2,,53.27,0,35.16,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,11.031215582974255,11.443215249921195,11.447722957935184,12.447761417017318,12.455021541914903,13.455081957974471,13.459810041938908,16.959824791993015,,
,,,,,,,,,,,,,,,,,16.96894558297936,18.098829374997877,,,,,,,,,,
1,1,6.79,0,9.92,,,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,18.122070832992904,18.75069412495941,18.756006708019413,19.756044458015822,19.762728667003103,20.762742375023663,20.766943624941632,23.767007499933243,,
2,1,0.00,0,10.25,,,0,n,10.25,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,23.779750999994576,24.20821770792827,24.211642500013113,25.211682249908336,25.21520462492481,26.21522729191929,26.218463707948104,29.21852204191964,,
3,0,19.86,0,8.07,,,0,v,8.07,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,29.295644374913536,29.78798929194454,29.791647791978903,30.791663374984637,30.79524645791389,31.795263041974977,31.799187707947567,34.79920333297923,,
4,0,18.77,0,8.61,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,34.81771658291109,35.219664499978535,35.2237637079088,36.223775832913816,36.228099957923405,37.22813345794566,37.232350624981336,40.23237199999858,,
5,0,19.28,0,8.36,,,1,v,19.28,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,40.2457716249628,40.635201166966,40.63850520795677,41.638518624939024,41.643852624925785,42.643870375002734,42.64768337493297,45.64772799995262,,
6,0,10.55,0,6.73,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,45.660283542005345,46.07368516700808,46.07722858292982,47.07726616691798,47.08241108292714,48.082451957976446,48.085813416983,51.085860332939774,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1
,,,,,,,,,,,,,,,,,51.37436445790809,55.37453058292158,,,,,,,,,,
,,,,,,,,,,,,,,,,,55.38256325002294,56.23648949991912,,,,,,,,,,
