trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.004581666900776327,1.2276181249180809,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.2374012919608504,2.1385121250059456,,,,,,,,,,
1,,18.23,0,9.45,,,0,n,9.45,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,2.1628850419074297,2.7761102919466794,2.7800820840056986,3.78011054196395,3.7838027089601383,4.783810458960943,4.7870778338983655,7.787121458910406,,
2,,53.27,0,35.16,,,1,v,53.27,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,7.834072083933279,8.389595874934457,8.393993124947883,9.39401587494649,9.399345209007151,10.399355041910894,10.402880167006515,13.902900999994017,,
,,,,,,,,,,,,,,,,,13.911270124954171,14.574965041945688,,,,,,,,,,
1,0,15.27,0,10.37,,,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,14.58687395893503,15.107987708994187,15.110311958938837,16.110327249974944,16.115934291970916,17.115994958905503,17.118512084009126,20.6185517499689,,
2,0,10.73,0,6.63,,,0,n,6.63,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,20.638873958960176,21.196426999988034,21.200291833956726,22.2003270839341,22.20440324989613,23.204421041999012,23.207726791966707,26.207783083897084,,
3,1,10.35,0,0.00,,,1,v,10.35,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,26.22038979199715,26.76936058397405,26.773977124947123,27.774019999895245,27.779047833988443,28.779057499952614,28.782334416988306,31.782370166969486,,
4,0,11.62,0,6.19,,,0,n,6.19,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,31.795458791893907,32.394821999943815,32.39933349995408,33.399387541925535,33.403079041978344,34.4030864170054,34.40662316698581,37.90665283391718,,
5,0,16.60,0,9.70,,,0,v,9.70,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,37.91912633390166,38.36113529198337,38.36434933391865,39.364355458994396,39.36775545892306,40.36779941699933,40.371563208987936,43.87159583391622,,
6,1,13.10,8,4.68,,,1,n,8,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,43.8905270419782,44.271200083894655,44.274309500004165,45.274331916938536,45.29285133397207,46.292888124939054,46.2961745839566,49.29620158392936,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1
,,,,,,,,,,,,,,,,,49.60217970900703,53.6023221249925,,,,,,,,,,
,,,,,,,,,,,,,,,,,53.61083537491504,54.2372461669147,,,,,,,,,,
1,,25.24,0,6.86,0.650434846359176,1,1,n,25.24,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,54.25428395892959,54.80240279191639,54.80500445899088,55.805050333961844,55.80915391689632,56.80919537495356,56.81239579198882,59.81243329192512,,
2,,17.62,0,0.06,0.966234822269621,0,0,v,0.06,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,59.82534391700756,60.47031108394731,60.47441595897544,61.47447204194032,61.478261999902315,62.47830120893195,62.48148970899638,65.48153008392546,,
3,,24.08,0,8.99,0.480939258455866,2,0,n,8.99,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,65.4935928749619,65.82230845896993,65.82660699996632,66.82664291700348,66.83000554190949,67.83005916699767,67.8334041669732,71.33343087497633,,
,,,,,,,,,,,,,,,,,1.2374012919608504,134.9525723749539,,,,,,,,,,
4,,5.72,0,5.04,0.0511020326291307,0,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,134.9660993339494,135.65592674992513,135.65976191696245,136.65979504189454,136.66524283390027,137.6652714589145,137.6691342499107,141.16918774996884,,
5,,18.85,0,6.57,0.521545375780172,2,0,n,6.57,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,141.1810502919834,141.71010558400303,141.7140604169108,142.71410116693005,142.71774512494449,143.71777074993588,143.7209829170024,147.22099541698117,,
6,,24.52,0,11.60,0.331531822963722,1,0,v,11.60,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,147.23382795893122,147.91266216698568,147.91672562493477,148.9167454589624,148.9204667499289,149.92048954195343,149.92360849992838,152.92363520897925,,
,,,,,,,,,,,,,,,,,152.93081358389463,154.25609458400868,,,,,,,,,,
,,,,,,,,,,,,,,,,,154.26605949993245,155.13486387499142,,,,,,,,,,
