trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.006118016448454,1.2627278602740262,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.265351729656686,2.222666644549463,,,,,,,,,,
1,,18.23,0,9.45,,,0,n,9.45,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,2.264228230022127,5.374510147841647,5.377080291509628,6.376666287440457,6.379415780203999,7.379413804985234,7.381606288443436,10.381469998930697,,
2,,53.27,0,35.16,,,0,v,35.16,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,10.398266397416592,11.094168152034399,11.09657435324334,12.096366956160637,12.099600375455339,13.099347943571047,13.101662890068837,16.601201085897628,,
3,,8.27,0,1.15,,,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,16.6145132133679,,20.61667369841598,21.616940746855107,21.61972223802877,22.619847071327968,22.622346502466826,25.621671375571168,,
,,,,,,,,,,,,,,,,,25.624239148994093,26.16550721821841,,,,,,,,,,
1,0,15.09,0,10.46,,,1,n,15.09,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,26.181426228271448,27.22939974149631,27.23166688789206,28.23155509099888,28.237660466096713,29.23751943607931,29.23954363161465,32.23939154042455,,
2,0,10.24,0,6.88,,,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,32.25303194785374,32.589115959068295,32.59119862083753,33.59106509662524,33.5940741320228,34.594344340788666,34.5966679782141,38.09613625159545,,
3,0,17.00,0,9.50,,,0,v,9.50,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,38.10971384734148,38.692861115865526,38.69498407191713,39.69501172484888,39.69772329358966,40.69798165108659,40.700015327645815,43.699807535507716,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,136,1
,,,,,,,,,,,,,,,,,44.124145524023334,48.12356204689422,,,,,,,,,,
,,,,,,,,,,,,,,,,,48.12614167157153,48.83629812403524,,,,,,,,,,
1,,15.54,0,10.26,0.469801788583503,2,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,48.85288475517882,49.45229511539219,49.45443387312116,50.45453934936086,50.4576127766195,51.457395898527466,51.45966620526451,54.459320543464855,,
2,,15.63,0,10.04,0.508824045154112,2,0,v,10.04,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,54.472792267930345,55.0360254660045,55.03812511457363,56.038256663581706,56.041105311902356,57.04115074174479,57.043113705760334,60.543046548598795,,
3,,3.01,0,1.90,0.53590535053079,2,1,v,3.01,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,60.555230435944395,61.083722449766356,61.085827628936386,62.08595522752148,62.08905433250766,63.088629267251235,63.09083834246849,66.09049702613265,,
,,,,,,,,,,,,,,,,,66.09305452845001,68.20332736030105,,,,,,,,,,
,,,,,,,,,,,,,,,,,68.20597611734411,69.37930911884177,,,,,,,,,,
