trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.004357250058092177,4.614738458069041,,,,,,,,,,
,,,,,,,,,,,,,,,,,4.6236708330689,5.600286833010614,,,,,,,,,,
1,,18.23,0,9.45,,,0,n,9.45,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,5.624201082973741,6.272737583029084,6.276496750069782,7.27654670807533,7.279576166998595,8.279595333035104,8.283537667011842,11.2835496669868,,
2,,53.27,0,35.16,,,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,11.32944404205773,13.563564541982487,13.571706332964823,14.571731625008397,14.577550542075187,15.5775747919688,15.580983291962184,19.081005083047785,,
,,,,,,,,,,,,,,,,,19.088016125024296,20.14580229204148,,,,,,,,,,
1,1,0.00,0,10.25,,,1,v,0.00,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,20.15691516699735,21.58703204197809,21.59533879207447,22.595356208039448,22.63138074998278,23.63142512505874,23.634313917020336,27.13436612498481,,
2,0,10.12,0,6.94,,,0,v,6.94,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,27.157255499972962,28.341126875020564,28.34982729202602,29.349876333028078,29.352926874998957,30.352977207978256,30.35660825006198,33.35665012500249,,
3,0,11.84,0,6.08,,,0,v,6.08,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,33.368860792019404,33.90190970804542,33.90605900005903,34.90607533301227,34.90936829196289,35.90939545806032,35.91248070797883,38.91249500005506,,
4,0,19.86,0,8.07,,,0,n,8.07,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,38.9238273750525,39.487554291961715,39.49137237505056,40.4914090000093,40.495068500051275,41.495123208034784,41.49728570797015,44.49732537497766,,
5,0,20.53,0,7.73,,,0,v,7.73,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,44.50892416702118,44.90092079201713,44.9048028329853,45.90481962496415,45.908433125005104,46.908491167007014,46.9125563330017,50.412611291976646,,
