trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
6,1,0.00,0,3.13,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,50.47115608304739,51.01016558299307,51.013204250019044,52.01324324996676,52.01842833298724,53.018459207960404,53.021609292016365,56.52164308296051,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1
,,,,,,,,,,,,,,,,,56.81484016706236,60.81497591699008,,,,,,,,,,
,,,,,,,,,,,,,,,,,60.8234049170278,71.46100062504411,,,,,,,,,,
1,,26.04,0,11.77,0.493023851650822,2,0,v,11.77,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,71.48191266704816,73.20117812498938,73.21020824997686,74.21025712497067,74.21395750006195,75.21396183304023,75.21720662503503,78.71726308297366,,
2,,23.83,0,11.00,0.476993841295305,2,1,n,23.83,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,78.73443791700993,79.22156808304135,79.22460391698405,80.22466199996416,80.22889291704632,81.22893754206598,81.23247370799072,84.73249266704079,,
3,,20.87,0,11.77,0.316689792093174,1,0,n,11.77,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,84.75106775003951,85.21120333299041,85.21570379205514,86.2157494580606,86.22011816699523,87.22016012505628,87.22332837502472,90.22334508306812,,
,,,,,,,,,,,,,,,,,4.6236708330689,91.56741170806345,,,,,,,,,,
,,,,,,,,,,,,,,,,,4.6236708330689,113.3853204579791,,,,,,,,,,
,,,,,,,,,,,,,,,,,4.6236708330689,158.19446550006978,,,,,,,,,,
4,,28.83,0,1.86,0.944948246378108,0,0,n,1.86,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,158.22136204200797,158.6203215830028,158.6252551249927,159.62531095801387,159.62962266698014,160.6296559170587,160.63217058300506,163.6322062080726,,
5,,7.37,0,10.45,0.0120021624608983,0,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,163.64484408299904,164.06348074995913,164.06674791697878,165.06677629204933,165.0719473749632,166.0719732500147,166.0750724170357,169.5751267920714,,
6,,22.14,0,7.17,0.701843749061409,1,1,n,22.14,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,169.587096375064,170.02235370804556,170.02690241707023,171.02692287496757,171.0321012500208,172.03212041698862,172.03557145805098,175.03558516700286,,
,,,,,,,,,,,,,,,,,175.04404141707346,177.6397342500277,,,,,,,,,,
,,,,,,,,,,,,,,,,,177.64911574998405,179.17414862499572,,,,,,,,,,
